"행정구역(시도)별(1)","특성별(1)",특성별(2),2020,2020,2020,2020,2020,2020
"행정구역(시도)별(1)","특성별(1)",특성별(2),계,전혀 불안하지 않음,별로 불안하지 않음,보통,약간 불안함,매우 불안함
"전국","전체",계,100.0,1.5,6.3,19.4,43.3,29.6
"전국","동·읍면부",동부,100.0,1.3,5.8,18.9,43.2,30.8
"전국","동·읍면부",읍면부,100.0,2.1,8.9,21.7,43.5,23.9
"전국","성별",남자,100.0,1.8,7.1,21.7,43.1,26.3
"전국","성별",여자,100.0,1.1,5.6,17.1,43.4,32.8
"전국","주택유형",단독주택,100.0,2.0,9.0,22.8,43.1,23.1
"전국","주택유형",아파트,100.0,1.2,5.3,17.5,43.3,32.7
"전국","주택유형",기 타1,100.0,1.4,5.3,19.8,43.5,30.0
"전국","연령",13∼19세,100.0,3.6,8.4,24.2,41.0,22.8
"전국","연령",20∼29세,100.0,1.7,6.8,20.2,42.3,29.1
"전국","연령",30∼39세,100.0,1.0,4.4,15.9,39.5,39.2
"전국","연령",40∼49세,100.0,1.1,4.8,16.8,41.9,35.5
"전국","연령",50∼59세,100.0,1.3,5.7,19.0,45.9,28.1
"전국","연령",60세이상,100.0,1.4,8.1,21.7,45.8,23.0
"전국","연령",65세이상,100.0,1.5,9.2,22.2,45.8,21.3
"전국","교육정도",초졸이하,100.0,2.5,10.1,24.5,43.4,19.4
"전국","교육정도",중 졸,100.0,2.0,7.5,22.7,45.3,22.6
"전국","교육정도",고 졸,100.0,1.6,6.2,20.8,43.0,28.4
"전국","교육정도",대졸이상,100.0,0.8,4.8,15.2,42.9,36.2
"전국","혼인상태",미? 혼,100.0,2.0,7.0,21.2,42.3,27.5
"전국","혼인상태",배우자 있음,100.0,1.1,5.4,17.9,43.7,31.9
"전국","혼인상태",사? 별,100.0,1.9,10.2,22.9,43.8,21.1
"전국","혼인상태",이? 혼,100.0,1.7,7.3,19.9,43.5,27.7
"전국","경제활동",취? 업,100.0,1.2,5.8,18.9,43.9,30.2
"전국","경제활동",실업 및 비경제활동,100.0,1.7,7.0,19.9,42.5,28.9
"전국","산업",농림어업,100.0,3.0,10.5,21.7,46.6,18.2
"전국","산업",광공업,100.0,1.5,6.2,19.9,44.9,27.4
"전국","산업",사회간접자본?기타서비스업,100.0,1.0,5.3,18.5,43.5,31.7
"전국","직업",전문관리,100.0,0.9,4.5,13.7,43.7,37.3
"전국","직업",사? 무,100.0,0.6,4.7,15.9,44.4,34.4
"전국","직업",서비스판매,100.0,1.2,5.7,19.7,43.3,30.1
"전국","직업",농어업,100.0,2.9,10.5,21.4,47.0,18.2
"전국","직업",기능노무,100.0,1.7,6.6,23.6,43.8,24.3
"전국","종사상의 지위",임금근로자,100.0,1.1,5.5,18.4,43.8,31.2
"전국","종사상의 지위",고용주,100.0,1.1,6.3,20.3,42.4,29.8
"전국","종사상의 지위",자영자,100.0,1.8,6.5,20.2,44.7,26.8
"전국","주관적 만족감",만족,100.0,2.0,7.4,18.0,42.9,29.7
"전국","주관적 만족감",보통,100.0,1.0,5.6,21.4,44.1,27.8
"전국","주관적 만족감",불만족,100.0,1.2,5.2,16.5,41.5,35.6
"전국","가구소득",100만원 미만,100.0,2.0,9.3,23.3,43.6,21.8
"전국","가구소득",100∼200만원 미만,100.0,1.7,7.4,20.8,44.7,25.5
"전국","가구소득",200∼300만원 미만,100.0,1.4,6.8,19.7,42.5,29.7
"전국","가구소득",300∼400만원 미만,100.0,1.7,5.5,18.9,43.9,30.0
"전국","가구소득",400∼500만원 미만,100.0,1.3,5.5,18.1,43.1,32.0
"전국","가구소득",500∼600만원 미만,100.0,0.9,5.3,17.7,44.6,31.5
"전국","가구소득",600만원 이상,100.0,1.1,4.9,17.2,41.5,35.3
"전국","연령*성별",13∼19세*남자,100.0,5.4,9.5,26.1,38.9,20.1
"전국","연령*성별",13∼19세*여자,100.0,1.6,7.2,22.3,43.3,25.6
"전국","연령*성별",20∼29세*남자,100.0,2.5,8.6,23.6,41.0,24.4
"전국","연령*성별",20∼29세*여자,100.0,0.8,4.9,16.7,43.7,34.0
"전국","연령*성별",30∼39세*남자,100.0,1.3,5.9,19.3,39.7,33.9
"전국","연령*성별",30∼39세*여자,100.0,0.8,2.8,12.1,39.3,45.0
"전국","연령*성별",40∼49세*남자,100.0,1.4,5.2,20.1,42.7,30.5
"전국","연령*성별",40∼49세*여자,100.0,0.7,4.4,13.2,41.0,40.6
"전국","연령*성별",50∼59세*남자,100.0,1.4,6.7,21.5,45.4,25.0
"전국","연령*성별",50∼59세*여자,100.0,1.2,4.6,16.5,46.5,31.2
"전국","연령*성별",60세 이상*남자,100.0,1.3,8.0,22.0,46.7,21.9
"전국","연령*성별",60세 이상*여자,100.0,1.4,8.3,21.4,45.1,23.9
"전국","연령*성별",65세 이상*남자,100.0,1.6,8.7,21.9,47.2,20.6
"전국","연령*성별",65세 이상*여자,100.0,1.5,9.6,22.4,44.7,21.7
"전국","연령*교육정도",20∼29세*중졸이하,100.0,1.6,11.3,29.6,28.0,29.4
