"행정구역(시도)별(1)","특성별(1)",특성별(2),2020,2020,2020,2020,2020
"행정구역(시도)별(1)","특성별(1)",특성별(2),계,매우 노력함,약간 노력함,별로 노력하지 않음,전혀 노력하지 않음
"전국","전체",계,100.0,25.4,50.9,21.4,2.4
"전국","동·읍면부",동부,100.0,25.6,51.1,20.9,2.4
"전국","동·읍면부",읍면부,100.0,24.0,49.9,23.7,2.4
"전국","성별",남자,100.0,19.2,49.5,28.0,3.3
"전국","성별",여자,100.0,31.4,52.2,15.0,1.5
"전국","주택유형",단독주택,100.0,26.3,48.7,22.3,2.6
"전국","주택유형",아파트,100.0,24.5,52.7,20.7,2.1
"전국","주택유형",기 타1,100.0,26.8,48.3,22.2,2.8
"전국","연령",15∼19세,-,-,-,-,-
"전국","연령",13∼19세,100.0,22.9,45.0,28.3,3.8
"전국","연령",20∼29세,100.0,18.3,47.0,30.5,4.1
"전국","연령",30∼39세,100.0,19.2,51.5,26.1,3.2
"전국","연령",40∼49세,100.0,20.4,57.8,20.0,1.8
"전국","연령",50∼59세,100.0,27.3,53.6,17.8,1.3
"전국","연령",60세이상,100.0,35.8,47.4,15.1,1.7
"전국","연령",65세이상,100.0,36.5,46.3,15.4,1.9
"전국","교육정도",초졸이하,100.0,33.9,44.1,19.8,2.2
"전국","교육정도",중 졸,100.0,30.9,47.0,19.7,2.5
"전국","교육정도",고 졸,100.0,24.8,50.8,21.7,2.7
"전국","교육정도",대졸이상,100.0,21.5,54.3,22.1,2.1
"전국","혼인상태",미? 혼,100.0,19.2,47.1,29.8,3.9
"전국","혼인상태",배우자 있음,100.0,26.8,53.8,17.7,1.7
"전국","혼인상태",사? 별,100.0,38.0,44.8,15.3,1.9
"전국","혼인상태",이? 혼,100.0,28.5,48.4,20.9,2.1
"전국","경제활동",취? 업,100.0,22.1,52.0,23.5,2.4
"전국","경제활동",실업 및 비경제활동,100.0,29.5,49.4,18.8,2.3
"전국","산업",농림어업,100.0,26.3,48.1,23.4,2.2
"전국","산업",광공업,100.0,18.4,51.2,28.0,2.4
"전국","산업",사회간접자본?기타서비스업,100.0,22.6,52.5,22.5,2.4
"전국","직업",전문관리,100.0,21.9,53.8,22.7,1.6
"전국","직업",사? 무,100.0,18.6,55.6,23.3,2.4
"전국","직업",서비스판매,100.0,25.0,50.7,21.1,3.2
"전국","직업",농어업,100.0,25.9,48.9,23.1,2.2
"전국","직업",기능노무,100.0,21.6,49.9,25.9,2.6
"전국","종사상의 지위",임금근로자,100.0,21.8,52.6,23.2,2.4
"전국","종사상의 지위",고용주,100.0,18.0,52.1,26.6,3.3
"전국","종사상의 지위",자영자,100.0,23.8,49.0,24.8,2.4
"전국","주관적 만족감",만족,100.0,27.3,50.5,19.9,2.3
"전국","주관적 만족감",보통,100.0,23.7,52.2,21.9,2.2
"전국","주관적 만족감",불만족,100.0,24.8,47.1,24.7,3.3
"전국","가구소득",100만원 미만,100.0,33.7,44.8,19.6,2.0
"전국","가구소득",100∼200만원 미만,100.0,30.3,47.5,19.9,2.3
"전국","가구소득",200∼300만원 미만,100.0,25.2,50.4,21.9,2.4
"전국","가구소득",300∼400만원 미만,100.0,23.2,52.6,21.4,2.7
"전국","가구소득",400∼500만원 미만,100.0,22.1,53.7,21.8,2.4
"전국","가구소득",500∼600만원 미만,100.0,21.2,55.6,20.8,2.4
"전국","가구소득",600만원 이상,100.0,22.2,51.9,23.5,2.3
"전국","연령*성별",15~19세*남자,-,-,-,-,-
"전국","연령*성별",15~19세*여자,-,-,-,-,-
"전국","연령*성별",13∼19세*남자,100.0,23.3,38.9,32.7,5.2
"전국","연령*성별",13∼19세*여자,100.0,22.6,51.5,23.6,2.3
"전국","연령*성별",20∼29세*남자,100.0,15.0,44.2,35.3,5.5
"전국","연령*성별",20∼29세*여자,100.0,21.8,50.0,25.5,2.7
"전국","연령*성별",30∼39세*남자,100.0,14.9,46.8,33.6,4.7
"전국","연령*성별",30∼39세*여자,100.0,24.0,56.6,17.9,1.5
"전국","연령*성별",40∼49세*남자,100.0,14.0,56.2,27.1,2.7
"전국","연령*성별",40∼49세*여자,100.0,27.0,59.6,12.7,0.8
"전국","연령*성별",50∼59세*남자,100.0,18.7,53.5,26.0,1.7
"전국","연령*성별",50∼59세*여자,100.0,35.8,53.7,9.6,0.9
"전국","연령*성별",60세 이상*남자,100.0,28.1,49.6,20.1,2.2
"전국","연령*성별",60세 이상*여자,100.0,42.0,45.6,11.0,1.4
"전국","연령*성별",65세 이상*남자,100.0,29.9,48.4,19.3,2.4
"전국","연령*성별",65세 이상*여자,100.0,41.4,44.6,12.4,1.5
"전국","연령*교육정도",20∼29세*중졸이하,100.0,18.4,34.2,36.4,11.1
"전국","연령*교육정도",20∼29세*고졸,100.0,19.7,44.7,31.5,4.1
"전국","연령*교육정도",20∼29세*대졸이상,100.0,16.9,49.8,29.3,4.0
"전국","연령*교육정도",30∼39세*중졸이하,100.0,20.7,44.4,33.5,1.4
