"행정구역(시도)별(1)","특성별(1)",특성별(2),2010,2010,2010,2010,2010,2012,2012,2012,2012,2012,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2020,2020,2020,2020,2020
"행정구역(시도)별(1)","특성별(1)",특성별(2),계,매우 노력함,약간 노력함,별로 노력하지 않음,전혀 노력하지 않음,계,매우 노력함,약간 노력함,별로 노력하지 않음,전혀 노력하지 않음,계,매우 노력함,약간 노력함,별로 노력하지 않음,전혀 노력하지 않음,계,매우 노력함,약간 노력함,별로 노력하지 않음,전혀 노력하지 않음,계,매우 노력함,약간 노력함,별로 노력하지 않음,전혀 노력하지 않음,계,매우 노력함,약간 노력함,별로 노력하지 않음,전혀 노력하지 않음
"전국","전체",계,100.0,33.2,40.0,21.6,5.2,100.0,35.3,38.8,20.7,5.3,100.0,33.6,38.9,21.4,6.1,100.0,33.6,38.2,21.7,6.4,100.0,32.5,36.8,23.0,7.6,100.0,32.9,36.2,22.6,8.2
"전국","동·읍면부",동부,100.0,34.6,40.5,20.2,4.7,100.0,37.0,39.2,19.3,4.5,100.0,35.8,39.3,19.6,5.3,100.0,35.7,38.7,20.1,5.4,100.0,34.4,37.7,21.6,6.3,100.0,35.1,37.0,20.9,7.0
"전국","동·읍면부",읍면부,100.0,26.6,37.9,28.2,7.4,100.0,27.6,36.7,27.0,8.7,100.0,23.0,36.8,30.3,9.9,100.0,23.6,36.1,29.3,11.0,100.0,23.7,32.7,29.6,14.0,100.0,22.5,32.6,30.7,14.2
"전국","성별",남자,100.0,25.9,38.2,28.6,7.3,100.0,28.2,38.1,26.6,7.1,100.0,26.8,37.7,27.1,8.4,100.0,27.0,36.8,27.6,8.7,100.0,26.3,35.1,28.4,10.2,100.0,26.2,35.7,27.4,10.7
"전국","성별",여자,100.0,40.2,41.8,14.9,3.1,100.0,42.2,39.4,14.9,3.5,100.0,40.1,40.0,16.0,3.8,100.0,40.1,39.7,16.1,4.1,100.0,38.7,38.6,17.7,5.1,100.0,39.5,36.8,17.9,5.8
"전국","주택유형",단독주택,100.0,35.8,39.8,19.4,5.0,100.0,36.1,38.8,19.8,5.3,100.0,34.9,37.6,21.1,6.3,100.0,34.9,37.8,20.8,6.6,100.0,33.1,36.1,21.9,8.9,100.0,33.2,34.5,23.1,9.3
"전국","주택유형",아파트,100.0,30.4,39.2,24.4,5.9,100.0,32.6,38.6,22.9,5.9,100.0,30.1,39.3,23.8,6.8,100.0,31.1,38.7,23.5,6.7,100.0,29.7,37.3,25.1,7.8,100.0,30.4,36.9,24.1,8.6
"전국","주택유형",기 타1,100.0,36.0,42.7,18.0,3.4,100.0,41.3,39.4,15.9,3.4,100.0,40.5,39.5,16.1,3.9,100.0,39.8,37.5,17.7,5.0,100.0,40.2,36.5,18.3,4.9,100.0,40.7,37.0,16.9,5.4
"전국","연령",15∼19세,100.0,49.4,40.2,9.5,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"전국","연령",13∼19세,-,-,-,-,-,100.0,50.9,38.8,8.9,1.3,100.0,50.4,40.3,8.3,1.0,100.0,51.0,40.5,7.5,1.1,100.0,50.4,39.6,8.7,1.3,100.0,51.0,38.0,9.1,1.9
"전국","연령",20∼29세,100.0,36.6,41.0,18.1,4.4,100.0,40.7,38.5,16.7,4.1,100.0,43.6,37.9,14.7,3.8,100.0,46.1,36.3,14.0,3.6,100.0,44.2,36.7,14.7,4.4,100.0,46.9,34.9,14.1,4.1
